Date,MF_TuleR_S10ET-POTENTIAL,MF_TuleR_S10FLOW,MF_TuleR_S10PRECIP-INC,MF_TuleR_S10SATURATION FRACTION,MF_TuleR_S10STORAGE-SOIL,MF_TuleR_S10SWE-OBSERVED,MF_TuleR_S10TEMPERATURE-AIR,MF_TuleR_S20ET-POTENTIAL,MF_TuleR_S20FLOW,MF_TuleR_S20PRECIP-INC,MF_TuleR_S20SATURATION FRACTION,MF_TuleR_S20STORAGE-SOIL,MF_TuleR_S20SWE-OBSERVED,MF_TuleR_S20TEMPERATURE-AIR,NF_TuleR_S10ET-POTENTIAL,NF_TuleR_S10FLOW,NF_TuleR_S10PRECIP-INC,NF_TuleR_S10SATURATION FRACTION,NF_TuleR_S10STORAGE-SOIL,NF_TuleR_S10SWE-OBSERVED,NF_TuleR_S10TEMPERATURE-AIR,ReservoirInflowFLOW,ReservoirInflowFLOW-OBSERVED,SF_TuleR_S10ET-POTENTIAL,SF_TuleR_S10FLOW,SF_TuleR_S10PRECIP-INC,SF_TuleR_S10SATURATION FRACTION,SF_TuleR_S10STORAGE-SOIL,SF_TuleR_S10SWE-OBSERVED,SF_TuleR_S10TEMPERATURE-AIR,TuleR_S10ET-POTENTIAL,TuleR_S10FLOW,TuleR_S10PRECIP-INC,TuleR_S10SATURATION FRACTION,TuleR_S10STORAGE-SOIL,TuleR_S10SWE-OBSERVED,TuleR_S10TEMPERATURE-AIR,TuleR_S20ET-POTENTIAL,TuleR_S20FLOW,TuleR_S20PRECIP-INC,TuleR_S20SATURATION FRACTION,TuleR_S20STORAGE-SOIL,TuleR_S20SWE-OBSERVED,TuleR_S20TEMPERATURE-AIR
10/1/1981,0.010899,0.020000,0.005410,0.393230,1.966100,0.000000,61.258000,0.007801,0.100000,0.003910,0.395310,1.976600,0.000000,51.371000,0.010723,0.100000,0.004870,0.394330,1.971700,0.000000,60.402000,0.000000,16.200000,0.010305,0.100000,0.006540,0.393650,1.968300,0.000000,59.263000,0.013884,0.031000,0.005780,0.390700,1.953500,0.000000,68.741000,0.013041,0.040000,0.006850,0.391740,1.958700,0.000000,66.746000
10/2/1981,0.009551,0.130000,0.005150,0.387200,1.936000,0.000000,57.297000,0.006426,0.500000,0.003520,0.390690,1.953500,0.000000,45.944000,0.009620,0.500000,0.003270,0.386130,1.930600,0.000000,56.908000,2.000000,14.200000,0.008956,0.600000,0.006540,0.388910,1.944500,0.000000,54.939000,0.014370,0.180000,0.005770,0.379930,1.899600,0.000000,69.888000,0.012740,0.220000,0.006770,0.384350,1.921700,0.000000,65.973000
10/3/1981,0.008346,0.290000,0.000000,0.379830,1.899100,0.000000,53.445000,0.005651,1.000000,0.000000,0.385670,1.928400,0.000000,42.527000,0.008402,1.200000,0.000000,0.375550,1.877700,0.000000,53.056000,5.000000,12.100000,0.007835,1.300000,0.000000,0.384880,1.924400,0.000000,51.188000,0.013072,0.400000,0.000000,0.365350,1.826800,0.000000,67.056000,0.011343,0.480000,0.000000,0.374330,1.871700,0.000000,62.510000
10/4/1981,0.007660,0.470000,0.000000,0.367060,1.835300,0.000000,51.162000,0.005376,1.700000,0.000000,0.377380,1.886900,0.000000,41.310000,0.007638,1.900000,0.000000,0.362830,1.814100,0.000000,50.636000,8.000000,15.800000,0.007192,2.100000,0.000000,0.374690,1.873400,0.000000,49.025000,0.011266,0.639000,0.000000,0.346880,1.734400,0.000000,62.659000,0.009974,0.770000,0.000000,0.357640,1.788200,0.000000,58.855000
10/5/1981,0.008006,0.630000,0.000000,0.354800,1.774000,0.000000,52.565000,0.005826,2.300000,0.000000,0.368500,1.842500,0.000000,43.644000,0.008001,2.600000,0.000000,0.351030,1.755100,0.000000,52.183000,10.000000,19.800000,0.007548,2.900000,0.000000,0.363110,1.815600,0.000000,50.600000,0.011222,0.868000,0.000000,0.331740,1.658700,0.000000,62.653000,0.010142,1.040000,0.000000,0.342850,1.714200,0.000000,59.491000
10/6/1981,0.009700,0.780000,0.000000,0.341960,1.709800,0.000000,58.297000,0.007230,2.800000,0.000000,0.358260,1.791300,0.000000,49.793000,0.009594,3.200000,0.000000,0.338910,1.694600,0.000000,57.689000,13.000000,20.000000,0.009181,3.600000,0.000000,0.350520,1.752600,0.000000,56.448000,0.012854,1.072000,0.000000,0.317890,1.589500,0.000000,66.878000,0.011794,1.290000,0.000000,0.328710,1.643500,0.000000,64.168000
10/7/1981,0.009513,0.910000,0.000000,0.329550,1.647800,0.000000,57.779000,0.006864,3.200000,0.000000,0.347740,1.738700,0.000000,48.381000,0.009366,3.700000,0.000000,0.327250,1.636200,0.000000,56.974000,15.000000,16.200000,0.008978,4.200000,0.000000,0.338020,1.690100,0.000000,55.795000,0.013289,1.245000,0.000000,0.305140,1.525700,0.000000,67.992000,0.011898,1.500000,0.000000,0.315560,1.577800,0.000000,64.498000
10/8/1981,0.007980,1.010000,0.000000,0.319600,1.598000,0.000000,52.749000,0.005770,3.600000,0.000000,0.339010,1.695100,0.000000,43.641000,0.007891,4.100000,0.000000,0.317870,1.589400,0.000000,52.068000,16.000000,13.200000,0.007553,4.600000,0.000000,0.327840,1.639200,0.000000,50.891000,0.011362,1.386000,0.000000,0.294710,1.473500,0.000000,63.322000,0.010123,1.670000,0.000000,0.305080,1.525400,0.000000,59.734000
10/9/1981,0.008309,1.090000,0.000000,0.311370,1.556800,0.000000,54.067000,0.006117,3.900000,0.000000,0.331470,1.657300,0.000000,45.373000,0.008183,4.500000,0.000000,0.310060,1.550300,0.000000,53.324000,18.000000,15.800000,0.007848,5.000000,0.000000,0.319360,1.596800,0.000000,52.175000,0.011224,1.498000,0.000000,0.285880,1.429400,0.000000,63.065000,0.010191,1.800000,0.000000,0.296460,1.482300,0.000000,60.083000
10/10/1981,0.008103,1.150000,0.025390,0.307590,1.537900,0.000000,53.368000,0.005582,4.100000,0.030720,0.327820,1.639100,0.012000,42.874000,0.008005,4.700000,0.019810,0.304960,1.524800,0.001300,52.570000,19.000000,16.900000,0.007545,5.300000,0.016540,0.313560,1.567800,0.000000,50.939000,0.011834,1.584000,0.023120,0.280040,1.400200,0.000000,64.754000,0.010483,1.900000,0.024170,0.291450,1.457200,0.000000,60.951000
